tokenno,match,smsToken,dictToken,lcsLength,lcsRatio,editDistance WithoutCS,editDistance WithCS,similarityMeasure WithoutCS,similarityMeasure WithCS,weight

1,1,exmpl,example,5,0.714286,3,1,0.238095,1.714286
1,2,exmpl,exemplar,5,0.625000,4,2,0.156250,1.312500
1,3,exmpl,examples,5,0.625000,4,2,0.156250,1.312500
1,4,exmpl,exemplify,5,0.555556,5,3,0.111111,1.185185
1,5,exmpl,exemplary,5,0.555556,5,3,0.111111,1.185185

2,1,vlcnc,volcanic,5,0.625000,4,1,0.156250,1.625000
2,2,vlcnc,volcanically,5,0.416667,8,3,0.052083,1.138889
2,3,vlcnc,vulcan,4,0.666667,4,2,0.166667,0.333333
2,4,vlcnc,volcano,4,0.571429,4,2,0.142857,0.285714
2,5,vlcnc,valence,4,0.571429,4,2,0.142857,0.285714

3,1,zne,zone,3,0.750000,2,1,0.375000,1.750000
3,2,zne,zones,3,0.600000,3,2,0.200000,1.300000
3,3,zne,zoned,3,0.600000,3,2,0.200000,1.300000
3,4,zne,zaniest,3,0.428571,5,3,0.085714,1.142857
3,5,zne,zealousness,3,0.272727,9,4,0.030303,1.068182
